"Région,Département,""COM ARRT/VILLE"",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",OUROUR,,,,,7769,7498,15267"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",""DARA MBOSS"",,,,,3662,3195,6857"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",""PANAL OUOLOF"",,,,,4720,4440,9160"
"KAOLACK,GUINGUINEO,""AR. NGUELOU"",""COM. MBOSS"",,,,,3037,3057,6094"
"THIES,M’BOUR,""COM. JOAL- FADIOUTH"",""COM. JOAL- FADIOUTH"",,,,,32545,29037,61582"
"THIES,M’BOUR,""COM. M’BOUR"",""COM. M’BOUR"",,,,,146196,137993,284189"
"THIES,M’BOUR,""AR. FISSEL"",FISSEL,,,,,24192,24789,48981"
"THIES,M’BOUR,""AR. FISSEL"",N’DIAGANIAO,,,,,30741,29913,60654"
"THIES,M’BOUR,""AR. SESSENE"",N’GUENIENE,,,,,25158,23819,48977"
"THIES,M’BOUR,""AR. SESSENE"",SANDIARA,,,,,19893,18440,38333"
"THIES,M’BOUR,""AR. SESSENE"",SESSENE,,,,,16015,15302,31317"
"THIES,M’BOUR,""AR. SESSENE"",""COM. THIADIAYE"",,,,,9932,10236,20168"
"THIES,M’BOUR,""AR. SINDIA"",MALICOUNDA,,,,,61092,56498,117590"
"THIES,M’BOUR,""AR. SINDIA"",DIASS,,,,,21221,20212,41433"
"THIES,M’BOUR,""AR. SINDIA"",SINDIA,,,,,30047,27009,57056"
"THIES,M’BOUR,""AR. SINDIA"",""COM. GUEKOKH"",,,,,24824,23140,47964"
"THIES,M’BOUR,""AR. SINDIA"",""COM. N’GAPAROU"",,,,,7057,6687,13744"
"THIES,M’BOUR,""AR. SINDIA"",""COM. POPENGUINE"",,,,,6499,6244,12743"
"THIES,M’BOUR,""AR. SINDIA"",""COM. SALY PORTUDAL"",,,,,21446,20365,41811"
"THIES,M’BOUR,""AR. SINDIA"",""COM. SOMONE"",,,,,4425,4337,8762"
"THIES,THIES,""AR. THIES NORD"",""THIES NORD"",,,,,68385,67753,136138"
"THIES,THIES,""AR. THIES SUD"",""THIES EST"",,,,,82838,83418,166256"
"THIES,THIES,""AR. THIES SUD"",""THIES OUEST"",,,,,43862,44997,88859"
"THIES,THIES,""COM. KHOMBOLE"",""COM. KHOMBOLE"",,,,,9671,10650,20321"
"THIES,THIES,""COM. POUT"",""COM. POUT"",,,,,15285,14589,29874"
"THIES,THIES,""AR. NOTTO"",NOTTO,,,,,28835,27132,55967"
"THIES,THIES,""AR. NOTTO"",TASSETTE,,,,,14122,12772,26894"
"THIES,THIES,""AR. THIENABA"",""N’DIEYENE SIRAKH"",,,,,18500,18795,37295"
"THIES,THIES,""AR. THIENABA"",N’GOUNDIANE,,,,,16956,16394,33350"
"THIES,THIES,""AR. THIENABA"",THIENABA,,,,,17433,16485,33918"
"THIES,THIES,""AR. THIENABA"",""TOUBA TOUL"",,,,,31323,32514,63837"
"THIES,THIES,""AR. KEUR MOUSSA"",""DIENDER GUEDJI"",,,,,22690,21668,44358"
"THIES,THIES,""AR. KEUR MOUSSA"",FANDENE,,,,,24077,23062,47139"
"THIES,THIES,""AR. KEUR MOUSSA"",""KEUR MOUSSA"",,,,,31428,30279,61707"
"THIES,THIES,""AR. KEUR MOUSSA"",""COM. CAYAR"",,,,,16861,16412,33273"
"THIES,TIVAOUANE,""COM. MEKHE"",""COM. MEKHE"",,,,,13587,13979,27566"
"THIES,TIVAOUANE,""COM. TIVAOUANE"",""COM. TIVAOUANE"",,,,,53388,49270,102658"
"THIES,TIVAOUANE,""AR. MEOUANE"",MEOUANE,,,,,23384,22905,46289"
"THIES,TIVAOUANE,""AR. MEOUANE"",""TAIBA N’DIAYE"",,,,,18732,17989,36721"
"THIES,TIVAOUANE,""AR. MEOUANE"",""DAROU KHOUDOSS"",,,,,54743,49603,104346"
"THIES,TIVAOUANE,""AR. MEOUANE"",""COM. M’BORO"",,,,,20951,19860,40811"
"THIES,TIVAOUANE,""AR. MERINA-DAKHAR"",KOUL,,,,,15945,16058,32003"
"THIES,TIVAOUANE,""AR. MERINA-DAKHAR"",""MERINA DAKHAR"",,,,,19364,19739,39103"
"THIES,TIVAOUANE,""AR. MERINA-DAKHAR"",PEKESSE,,,,,13618,12676,26294"
"THIES,TIVAOUANE,""AR. NIAKHENE"",M’BAYENE,,,,,5563,4884,10447"
"THIES,TIVAOUANE,""AR. NIAKHENE"",N’GANDIOUF,,,,,17240,16015,33255"
"THIES,TIVAOUANE,""AR. NIAKHENE"",NIAKHENE,,,,,6135,5160,11295"
"THIES,TIVAOUANE,""AR. NIAKHENE"",THILMAKHA,,,,,7451,7178,14629"
"THIES,TIVAOUANE,""AR. PAMBAL"",""CHERIF LÖ"",,,,,14836,13923,28759"
"THIES,TIVAOUANE,""AR. PAMBAL"",""MONT- ROLLAND"",,,,,8711,8728,17439"
"THIES,TIVAOUANE,""AR. PAMBAL"",""NOTTO GOUYE DIAMA"",,,,,17497,16539,34036"
"THIES,TIVAOUANE,""AR. PAMBAL"",""PIRE GOUREYE"",,,,,16764,15921,32685"
"THIES,TIVAOUANE,""AR. PAMBAL"",PAMBAL,,,,,5518,5335,10853"
"LOUGA,KEBEMER,""COM. KEBEMER"",""COM. KEBEMER"",,,,,13362,13943,27305"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",""DAROU MARNANE"",,,,,7233,6841,14074"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",""DAROU MOUSTY"",,,,,25868,26656,52524"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",MBADIANE,,,,,5580,4660,10240"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",NDOYENE,,,,,3189,3328,6517"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",""SAM YABAL"",,,,,6373,5837,12210"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",""TOUBA MERINA"",,,,,4856,4700,9556"
"LOUGA,KEBEMER,""AR. DAROU MOUSTY"",""MBACKE CADIOR"",,,,,3213,3021,6234"
"LOUGA,KEBEMER,""AR. NDANDE"",""BADEGNE OUOLOF"",,,,,8862,10176,19038"
"LOUGA,KEBEMER,""AR. NDANDE"",""DIOKOUL DIAWRIGNE"",,,,,10590,10454,21044"
"LOUGA,KEBEMER,""AR. NDANDE"",""KAB GAYE"",,,,,7723,6837,14560"
"LOUGA,KEBEMER,""AR. NDANDE"",NDANDE,,,,,15756,16309,32065"
"LOUGA,KEBEMER,""AR. NDANDE"",THIEPPE,,,,,12361,11058,23419"
"LOUGA,KEBEMER,""AR. NDANDE"",""COM. GUEOUL"",,,,,5032,5515,10547"
"LOUGA,KEBEMER,""AR. SAGATTA GUETH"",""KANENE NDIOB"",,,,,5698,5660,11358"
"LOUGA,KEBEMER,""AR. SAGATTA GUETH"",LORO,,,,,4965,4743,9708"
"LOUGA,KEBEMER,""AR. SAGATTA GUETH"",""SAGATTA GUETH"",,,,,9334,8780,18114"
"LOUGA,KEBEMER,""AR. SAGATTA GUETH"",""THIOLOM FALL"",,,,,12650,12392,25042"
"LOUGA,KEBEMER,""AR. SAGATTA GUETH"",""NGOURANE OUOLOF"",,,,,6228,6138,12366"
"LOUGA,LINGUERE,""COM. LINGUERE"",""COM. LINGUERE"",,,,,9841,9350,19191"
"LOUGA,LINGUERE,""COM. DAHRA"",""COM. DAHRA"",,,,,23338,22192,45530"
"LOUGA,LINGUERE,""AR. BARKEDJI"",BARKEDJI,,,,,12866,12256,25122"
"LOUGA,LINGUERE,""AR. BARKEDJI"",GASSANE,,,,,12714,11427,24141"
"LOUGA,LINGUERE,""AR. BARKEDJI"",THIARGNY,,,,,5601,5292,10893"
"LOUGA,LINGUERE,""AR. BARKEDJI"",THIEL,,,,,8743,8191,16934"
"LOUGA,LINGUERE,""AR. DODJI"",DODJI,,,,,9496,9595,19091"
"LOUGA,LINGUERE,""AR. DODJI"",LABGAR,,,,,4941,5606,10547"
"LOUGA,LINGUERE,""AR. DODJI"",OUARKHOH,,,,,10510,10351,20861"
"LOUGA,LINGUERE,""AR. YANG YANG"",KAMB,,,,,5341,5621,10962"
"LOUGA,LINGUERE,""AR. YANG YANG"",MBOULA,,,,,4421,4999,9420"
"LOUGA,LINGUERE,""AR. YANG YANG"",""TESSEKRE FORAGE"",,,,,5583,6108,11691"
"LOUGA,LINGUERE,""AR. YANG YANG"",""YANG YANG"",,,,,2843,2952,5795"
"LOUGA,LINGUERE,""AR. YANG YANG"",""COM. MBEULEUKHE"",,,,,971,997,1968"
"LOUGA,LINGUERE,""AR. SAGATTA DJOLOF"",BOULAL,,,,,6174,6256,12430"
"LOUGA,LINGUERE,""AR. SAGATTA DJOLOF"",DEALI,,,,,14601,12144,26745"
"LOUGA,LINGUERE,""AR. SAGATTA DJOLOF"",""SAGATTA DJOLOF"",,,,,6883,7088,13971"
"LOUGA,LINGUERE,""AR. SAGATTA DJOLOF"",""THIAMENE DJOLOF"",,,,,10235,9901,20136"
"LOUGA,LINGUERE,""AR. SAGATTA DJOLOF"",""AFFE DJOLOFF"",,,,,3161,3635,6796"
"LOUGA,LOUGA,""COM. LOUGA"",""COM. LOUGA"",,,,,56482,56883,113365"
"LOUGA,LOUGA,""AR. COKI"",COKI,,,,,16284,13033,29317"
"LOUGA,LOUGA,""AR. COKI"",""PETE OUARACK"",,,,,2933,3254,6187"
"LOUGA,LOUGA,""AR. COKI"",""THIAMENE CAYOR"",,,,,9826,9982,19808"
"LOUGA,LOUGA,""AR. COKI"",""GUET ARDO"",,,,,5809,5448,11257"
"LOUGA,LOUGA,""AR. COKI"",""COM. NDIAGNE"",,,,,4767,5279,10046"
"LOUGA,LOUGA,""AR. KEUR MOMAR SARR"",GANDE,,,,,8336,8861,17197"
"LOUGA,LOUGA,""AR. KEUR MOMAR SARR"",""KEUR MOMAR SARR"",,,,,20743,19708,40451"
"LOUGA,LOUGA,""AR. KEUR MOMAR SARR"",""NGUER MALAL"",,,,,15302,18945,34247"
"LOUGA,LOUGA,""AR. KEUR MOMAR SARR"",SYER,,,,,7005,6838,13843"
"LOUGA,LOUGA,""AR. MBEDIENE"",""KELLE GUEYE"",,,,,6803,6946,13749"
"LOUGA,LOUGA,""AR. MBEDIENE"",MBEDIENE,,,,,7264,7174,14438"
"LOUGA,LOUGA,""AR. MBEDIENE"",NGUIDILE,,,,,15369,16958,32327"
"LOUGA,LOUGA,""AR. MBEDIENE"",NIOMRE,,,,,9478,11658,21136"
"LOUGA,LOUGA,""AR. SAKAL"",LEONA,,,,,23860,22408,46268"
"LOUGA,LOUGA,""AR. SAKAL"",""NGUEUNE SARR"",,,,,10847,10813,21660"
"LOUGA,LOUGA,""AR. SAKAL"",SAKAL,,,,,15701,16768,32469"
"FATICK,FATICK,""COM. FATICK"",""COM. FATICK"",,,,,19959,19402,39361"
"FATICK,FATICK,""COM. DIOFIOR"",""COM. DIOFIOR"",,,,,6326,6469,12795"
"FATICK,FATICK,""AR. NDIOB"",DIAOULE,,,,,7601,7712,15313"
"FATICK,FATICK,""AR. NDIOB"",MBELACADIAO,,,,,8872,9247,18119"
"FATICK,FATICK,""AR. NDIOB"",NDIOB,,,,,11866,11541,23407"
"FATICK,FATICK,""AR. NDIOB"",""THIARE  NDIALGUI"",,,,,13395,12732,26127"
"FATICK,FATICK,""AR. NDIOB"",DIAKHAO,,,,,2671,2919,5590"
"FATICK,FATICK,""AR. FIMELA"",FIMELA,,,,,15796,15090,30886"
"FATICK,FATICK,""AR. FIMELA"",LOUL-SESSENE,,,,,11462,11066,22528"
"FATICK,FATICK,""AR. FIMELA"",""PALMARIN FACAO"",,,,,6224,4703,10927"
"FATICK,FATICK,""AR. FIMELA"",DJILASSE,,,,,5814,5292,11106"
"FATICK,FATICK,""AR. NIAKHAR"",NGAYOKHEME,,,,,14851,14957,29808"
"FATICK,FATICK,""AR. NIAKHAR"",NIAKHAR,,,,,16360,17336,33696"
"FATICK,FATICK,""AR. NIAKHAR"",PATAR,,,,,15192,15391,30583"
"FATICK,FATICK,""AR. TATTAGUINE"",DIARERE,,,,,17936,17839,35775"
"FATICK,FATICK,""AR. TATTAGUINE"",DIOUROUP,,,,,12940,13408,26348"
"FATICK,FATICK,""AR. TATTAGUINE"",TATTAGUINE,,,,,18309,17888,36197"
"FATICK,FOUNDIOUGNE,""COM. FOUNDIOUGNE"",""COM. FOUNDIOUGNE"",,,,,4635,4289,8924"
"FATICK,FOUNDIOUGNE,""COM. SOKONE"",""COM. SOKONE"",,,,,9766,10658,20424"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",DJILOR,,,,,11288,11588,22876"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",DIOSSONG,,,,,12917,14067,26984"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",""DIAGANE BARKA"",,,,,6462,6525,12987"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",MBAM,,,,,5857,5856,11713"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",NIASSENE,,,,,10202,10703,20905"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",""COM. PASSY"",,,,,8725,9597,18322"
"FATICK,FOUNDIOUGNE,""AR. DJILOR"",""COM. SOUM"",,,,,2904,3255,6159"
"FATICK,FOUNDIOUGNE,""AR. NIODIOR"",BASSOUL,,,,,5846,6100,11946"
"FATICK,FOUNDIOUGNE,""AR. NIODIOR"",DIONEWAR,,,,,6034,6555,12589"
"FATICK,FOUNDIOUGNE,""AR. NIODIOR"",DJIRNDA,,,,,5197,5221,10418"
"FATICK,FOUNDIOUGNE,""AR. TOUBACOUTA"",""KEUR SALOUM DIANE"",,,,,18064,19729,37793"
"FATICK,FOUNDIOUGNE,""AR. TOUBACOUTA"",""KEUR SAMBA GUEYE"",,,,,18337,18081,36418"
"FATICK,FOUNDIOUGNE,""AR. TOUBACOUTA"",""NIORO ALASSANE TALL"",,,,,23330,23036,46366"
"FATICK,FOUNDIOUGNE,""AR. TOUBACOUTA"",TOUBACOUTA,,,,,21976,21616,43592"
"FATICK,FOUNDIOUGNE,""AR. TOUBACOUTA"",""COM. KARANG POSTE"",,,,,14166,12806,26972"
"FATICK,GOSSAS,""COM. GOSSAS"",""COM. GOSSAS"",,,,,7519,8111,15630"
"FATICK,GOSSAS,""AR. COLOBANE"",COLOBANE,,,,,10698,10643,21341"
"FATICK,GOSSAS,""AR. COLOBANE"",MBAR,,,,,18826,17492,36318"
"FATICK,GOSSAS,""AR. OUADIOUR"",""NDIENE LAGANE"",,,,,7739,7587,15326"
"FATICK,GOSSAS,""AR. OUADIOUR"",OUADIOUR,,,,,8040,7569,15609"
"FATICK,GOSSAS,""AR. OUADIOUR"",""PATAR LIA"",,,,,9763,8981,18744"
"KOLDA,KOLDA,""COM. KOLDA"",""COM. KOLDA"",,,,,52012,51562,103574"
"KOLDA,KOLDA,""AR. DIOULACOLON"",DIOULACOLON,,,,,16177,15913,32090"
"KOLDA,KOLDA,""AR. DIOULACOLON"",""MEDINA  EL HADJI"",,,,,7795,7409,15204"
"KOLDA,KOLDA,""AR. DIOULACOLON"",""TANKANTO ESCALE"",,,,,9184,9164,18348"
"KOLDA,KOLDA,""AR. DIOULACOLON"",""GUIRO YERO BOCAR"",,,,,9670,9230,18900"
"KOLDA,KOLDA,""AR. DIOULACOLON"",""COM. SALIKEGNE"",,,,,2333,2308,4641"
"KOLDA,KOLDA,""AR. DIOULACOLON"",""COM. SARE YOBA DIEGA"",,,,,2127,2072,4199"
"KOLDA,KOLDA,""AR. MAMPATIM"",BAGADADJI,,,,,10291,9795,20086"
"KOLDA,KOLDA,""AR. MAMPATIM"",COUMBACARA,,,,,7691,7334,15025"
"KOLDA,KOLDA,""AR. MAMPATIM"",MAMPATIM,,,,,11305,10650,21955"
"KOLDA,KOLDA,""AR. MAMPATIM"",DIALAMBERE,,,,,8836,8123,16959"
"KOLDA,KOLDA,""AR. MAMPATIM"",""MEDINA CHERIF"",,,,,8259,7659,15918"
"KOLDA,KOLDA,""AR. MAMPATIM"",""COM. DABO"",,,,,4796,4815,9611"
"KOLDA,KOLDA,""AR. SARE BIDJI"",""SARE BIDJI"",,,,,11677,10694,22371"
"KOLDA,KOLDA,""AR. SARE BIDJI"",THIETTY,,,,,2759,2552,5311"
"KOLDA,VELINGARA,""COM. VELINGARA"",""COM. VELINGARA"",,,,,22801,22630,45431"
"KOLDA,VELINGARA,""AR. BONCONTO"",BONCONTO,,,,,7055,6400,13455"
"KOLDA,VELINGARA,""AR. BONCONTO"",LINKERING,,,,,11433,11053,22486"
"KOLDA,VELINGARA,""AR. BONCONTO"",""MEDINA GOUNASS"",,,,,46246,44839,91085"
"KOLDA,VELINGARA,""AR. BONCONTO"",""SINTHIANG  KOUNDARA"",,,,,19670,18618,38288"
"KOLDA,VELINGARA,""AR. PAKOUR"",OUASSADOU,,,,,10840,10009,20849"
"KOLDA,VELINGARA,""AR. PAKOUR"",PAROUMBA,,,,,9707,9513,19220"
"KOLDA,VELINGARA,""AR. PAKOUR"",PAKOUR,,,,,8436,7801,16237"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",KANDIA,,,,,14701,14067,28768"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",""SARE COLY SALLE"",,,,,12567,11902,24469"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",NEMATABA,,,,,6058,5825,11883"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",KANDIAYE,,,,,7974,7377,15351"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",""COM. DIAOUBE- KABENDOU"",,,,,21477,19934,41411"
"KOLDA,VELINGARA,""AR. SARE COLY SALLE"",""COM. KOUNKANE"",,,,,8234,7982,16216"
"KOLDA,""MEDINA YORO FOULAH"",""COM. MEDINA YORO FOULAH"",""COM. MEDINA YORO FOULAH"",,,,,2607,2329,4936"
"KOLDA,""MEDINA YORO FOULAH"",""AR. FAFACOUROU"",FAFACOUROU,,,,,5802,5109,10911"
"KOLDA,""MEDINA YORO FOULAH"",""AR. FAFACOUROU"",BADION,,,,,9367,8511,17878"
"KOLDA,""MEDINA YORO FOULAH"",AR.NDORNA,NDORNA,,,,,8674,7494,16168"
"KOLDA,""MEDINA YORO FOULAH"",AR.NDORNA,BIGNARABE,,,,,4144,3622,7766"
"KOLDA,""MEDINA YORO FOULAH"",AR.NDORNA,BOUROUCO,,,,,17511,17950,35461"
"KOLDA,""MEDINA YORO FOULAH"",AR.NDORNA,KOULINTO,,,,,4519,4156,8675"
"KOLDA,""MEDINA YORO FOULAH"",""AR. NIAMING"",DINGUIRAYE,,,,,9508,9006,18514"
"KOLDA,""MEDINA YORO FOULAH"",""AR. NIAMING"",KEREWANE,,,,,21278,19752,41030"
"KOLDA,""MEDINA YORO FOULAH"",""AR. NIAMING"",NIAMING,,,,,10258,9594,19852"
"KOLDA,""MEDINA YORO FOULAH"",""AR. NIAMING"",""COM. PATA"",,,,,2131,2134,4265"
"MATAM,MATAM,""COM. MATAM"",""COM. MATAM"",,,,,15537,12158,27695"
"MATAM,MATAM,""COM. OUROSSOGUI"",""COM. OUROSSOGUI"",,,,,15830,11392,27222"
"MATAM,MATAM,""AR. AGNAM-CIVOL"",AGNAM-CIVOL,,,,,17305,16053,33358"
"MATAM,MATAM,""AR. AGNAM-CIVOL"",OREFONDE,,,,,13504,12295,25799"
"MATAM,MATAM,""AR. AGNAM-CIVOL"",DABIA,,,,,15023,14174,29197"
"MATAM,MATAM,""AR. AGNAM-CIVOL"",""COM. NGUIDILOGNE"",,,,,7635,6788,14423"
"MATAM,MATAM,""AR. AGNAM-CIVOL"",""COM. THILOGNE"",,,,,8736,6308,15044"
"MATAM,MATAM,""AR. OGO"",BOKIDIAWE,,,,,37816,35584,73400"
"MATAM,MATAM,""AR. OGO"",NABADJI-CIVOL,,,,,37146,37909,75055"
"MATAM,MATAM,""AR. OGO"",OGO,,,,,32892,32802,65694"
"MATAM,KANEL,""COM. KANEL"",""COM. KANEL"",,,,,8290,6954,15244"
"MATAM,KANEL,""AR. ORKADIERE"",BOKILADJI,,,,,22940,23224,46164"
"MATAM,KANEL,""AR. ORKADIERE"",ORKADIERE,,,,,28414,27637,56051"
"MATAM,KANEL,""AR. ORKADIERE"",AOURE,,,,,27595,28204,55799"
"MATAM,KANEL,""AR. ORKADIERE"",""COM. DEMBANCANE"",,,,,2831,2950,5781"
"MATAM,KANEL,""AR. ORKADIERE"",""COM. ODOBERE"",,,,,3892,3492,7384"
"MATAM,KANEL,""AR. ORKADIERE"",""COM. SEMME"",,,,,4719,4494,9213"
"MATAM,KANEL,""AR. ORKADIERE"",""COM. WAOUNDE"",,,,,4743,4633,9376"
"MATAM,KANEL,""AR. OURO SIDY"",NDENDORY,,,,,25956,25009,50965"
"MATAM,KANEL,""AR. OURO SIDY"",""OURO SIDY"",,,,,26573,26276,52849"
"MATAM,KANEL,""AR. OURO SIDY"",""COM. HAMADY OUNARE"",,,,,6333,6313,12646"
"MATAM,KANEL,""AR. OURO SIDY"",""COM. SINTHIOU BAMANBE-BANADJI"",,,,,10772,9276,20048"
"MATAM,""RANEROU FERLO"",""COM. RANEROU"",""COM. RANEROU"",,,,,2496,2152,4648"
"MATAM,""RANEROU FERLO"",""AR. VELINGARA"",LOUGRE-THIOLY,,,,,5710,5360,11070"
"MATAM,""RANEROU FERLO"",""AR. VELINGARA"",VELINGARA,,,,,18543,16663,35206"
"MATAM,""RANEROU FERLO"",""AR. VELINGARA"",OUDALAYE,,,,,26878,25423,52301"
"KAFFRINE,KAFFRINE,""COM. KAFFRINE"",""COM. KAFFRINE"",,,,,29105,28202,57307"
"KAFFRINE,KAFFRINE,""AR. GNIBY"",BOULEL,,,,,15494,14589,30083"
"KAFFRINE,KAFFRINE,""AR. GNIBY"",GNIBY,,,,,10292,9486,19778"
"KAFFRINE,KAFFRINE,""AR. GNIBY"",KAHI,,,,,14969,14246,29215"
"KAFFRINE,KAFFRINE,""AR. KATAKEL"",""DIOKOUL M’BELBOUCK"",,,,,16398,17193,33591"
"KAFFRINE,KAFFRINE,""AR. KATAKEL"",KATHIOTE,,,,,21829,22567,44396"
"KAFFRINE,KAFFRINE,""AR. KATAKEL"",""MEDINATOUL SALAM 2"",,,,,13765,13863,27628"
"KAFFRINE,KAFFRINE,""AR. KATAKEL"",DIAMAGADIO,,,,,11974,12446,24420"
"KAFFRINE,KAFFRINE,""AR. KATAKEL"",""COM. N’GANDA"",,,,,6700,7669,14369"
"KAFFRINE,BIRKELANE,""COM. BIRKELANE"",""COM. BIRKELANE"",,,,,5270,5621,10891"
"KAFFRINE,BIRKELANE,""AR. KEUR M’BOUKI"",""KEUR M’BOUKI"",,,,,7280,6949,14229"
"KAFFRINE,BIRKELANE,""AR. KEUR M’BOUKI"",""TOUBA M’BELLA"",,,,,7412,7002,14414"
"KAFFRINE,BIRKELANE,""AR. KEUR M’BOUKI"",DIAMAL,,,,,8500,7276,15776"
"KAFFRINE,BIRKELANE,""AR. MABO"",MABO,,,,,18694,17820,36514"
"KAFFRINE,BIRKELANE,""AR. MABO"",N’DIOGNICK,,,,,22061,22388,44449"
"KAFFRINE,BIRKELANE,""AR. MABO"",MBEULEUP,,,,,3603,3881,7484"
"KAFFRINE,BIRKELANE,""AR. MABO"",""SEGRE GATTA"",,,,,3522,3785,7307"
"KAFFRINE,KOUNGHEUL,""COM. KOUNGHEUL"",""COM. KOUNGHEUL"",,,,,14974,16175,31149"
"KAFFRINE,KOUNGHEUL,""AR. IDA MOURIDE"",""SALY ESCALE"",,,,,17022,17112,34134"
"KAFFRINE,KOUNGHEUL,""AR. IDA MOURIDE"",""FASS THIEKENE"",,,,,11283,12264,23547"
"KAFFRINE,KOUNGHEUL,""AR. IDA MOURIDE"",""IDA MOURIDE"",,,,,16268,15267,31535"
"KAFFRINE,KOUNGHEUL,""AR. LOUR ESCALE"",""LOUR ESCALE"",,,,,18057,16848,34905"
"KAFFRINE,KOUNGHEUL,""AR. LOUR ESCALE"",""RIBOT ESCALE"",,,,,12386,10624,23010"
"KAFFRINE,KOUNGHEUL,""AR. MISSIRAH WADENE"",""GAINTHE PATHE"",,,,,13248,12521,25769"
"KAFFRINE,KOUNGHEUL,""AR. MISSIRAH WADENE"",""MAKA YOP"",,,,,9932,9496,19428"
"KAFFRINE,KOUNGHEUL,""AR. MISSIRAH WADENE"",""MISSIRAH WADENE"",,,,,15502,14325,29827"
"KAFFRINE,""MALEM HODDAR"",""COM. MALEM HODDAR"",""COM. MALEM HODDAR"",,,,,6047,6141,12188"
"KAFFRINE,""MALEM HODDAR"",""AR. DAROU MINAM II"",""DAROU MINAM II"",,,,,11567,9734,21301"
"KAFFRINE,""MALEM HODDAR"",""AR. DAROU MINAM II"",""N’DIOUM  N’GAINTH"",,,,,6611,6002,12613"
"KAFFRINE,""MALEM HODDAR"",""AR. DAROU MINAM II"",KHELCOM,,,,,1811,23,1834"
"KAFFRINE,""MALEM HODDAR"",""AR. DAROU MINAM II"",""NDIOBENE SAMBA LAMO"",,,,,4721,3860,8581"
"KAFFRINE,""MALEM HODDAR"",""AR. SAGNA"",""DIANKE SOUF"",,,,,13045,12312,25357"
"KAFFRINE,""MALEM HODDAR"",""AR. SAGNA"",SAGNA,,,,,26541,26834,53375"
"KEDOUGOU,KEDOUGOU,""COM. KEDOUGOU"",""COM. KEDOUGOU"",,,,,31391,27840,59231"
"KEDOUGOU,KEDOUGOU,""AR. BANDAFASSI"",BANDAFASSI,,,,,8356,7484,15840"
"KEDOUGOU,KEDOUGOU,""AR. BANDAFASSI"",TOMBORONKOTO,,,,,10337,8023,18360"
"KEDOUGOU,KEDOUGOU,""AR. BANDAFASSI"",DINDIFELO,,,,,3795,3795,7590"
"KEDOUGOU,KEDOUGOU,""AR. BANDAFASSI"",NINEFECHA,,,,,4412,4303,8715"
"KEDOUGOU,KEDOUGOU,""AR. FONGOLEMBI"",DIMBOLI,,,,,4536,4487,9023"
"KEDOUGOU,KEDOUGOU,""AR. FONGOLEMBI"",FONGOLEMBI,,,,,2785,2722,5507"
"KEDOUGOU,SALEMATA,""COM. SALEMATA"",""COM. SALEMATA"",,,,,3445,3267,6712"
"KEDOUGOU,SALEMATA,""AR. DAKATELI"",DAKATELI,,,,,2421,2346,4767"
"KEDOUGOU,SALEMATA,""AR. DAKATELI"",KEVOYE,,,,,2824,2735,5559"
"KEDOUGOU,SALEMATA,""AR. DAR  SALAM"",""DAR SALAM"",,,,,2064,2101,4165"
"KEDOUGOU,SALEMATA,""AR. DAR  SALAM"",ETHIOLO,,,,,2146,2164,4310"
"KEDOUGOU,SALEMATA,""AR. DAR  SALAM"",OUBADJI,,,,,1231,1282,2513"
"KEDOUGOU,SARAYA,""COM. SARAYA"",""COM. SARAYA"",,,,,2404,1981,4385"
"KEDOUGOU,SARAYA,""AR. BEMBOU"",""MEDINA BAFFE"",,,,,5519,5224,10743"
"KEDOUGOU,SARAYA,""AR. BEMBOU"",BEMBOU,,,,,15465,11355,26820"
"KEDOUGOU,SARAYA,""AR. SABODOLA"",KHOSSANTO,,,,,6594,4582,11176"
"KEDOUGOU,SARAYA,""AR. SABODOLA"",""MISSIRAH SIRIMANA"",,,,,12422,9293,21715"
"KEDOUGOU,SARAYA,""AR. SABODOLA"",SABODALA,,,,,10110,7906,18016"
"SEDHIOU,SEDHIOU,""COM. SEDHIOU"",""COM. SEDHIOU"",,,,,16083,15428,31511"
"SEDHIOU,SEDHIOU,""COM. MARSASSOUM"",""COM. MARSASSOUM"",,,,,5004,4811,9815"
