"Région,Département,""COM ARRT/VILLE"",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION"
"ZIGUINCHOR,BIGNONA,""COM. THIONCK-ESSYL"",""COM. THIONCK-ESSYL"",,,,,4553,4408,8961"
"ZIGUINCHOR,BIGNONA,""AR. SINDIAN"",DJIBIDIONE,,,,,4889,3970,8859"
"ZIGUINCHOR,BIGNONA,""AR. SINDIAN"",OULAMPANE,,,,,7845,7064,14909"
"ZIGUINCHOR,BIGNONA,""AR. SINDIAN"",SINDIAN,,,,,6103,5573,11676"
"ZIGUINCHOR,BIGNONA,""AR. SINDIAN"",SUELLE,,,,,4933,4241,9174"
"ZIGUINCHOR,BIGNONA,""AR. TENDOUCK"",BALINGORE,,,,,2878,2635,5513"
"ZIGUINCHOR,BIGNONA,""AR. TENDOUCK"",DIEGOUNE,,,,,3755,3779,7534"
"ZIGUINCHOR,BIGNONA,""AR. TENDOUCK"",KARTHIACK,,,,,4028,3934,7962"
"ZIGUINCHOR,BIGNONA,""AR. TENDOUCK"",MANGAGOULACK,,,,,4406,4097,8503"
"ZIGUINCHOR,BIGNONA,""AR. TENDOUCK"",MLOMP,,,,,1557,1571,3128"
"ZIGUINCHOR,BIGNONA,""AR. TENGHORY"",COUBALAN,,,,,6145,6011,12156"
"ZIGUINCHOR,BIGNONA,""AR. TENGHORY"",NIAMONE,,,,,4573,4212,8785"
"ZIGUINCHOR,BIGNONA,""AR. TENGHORY"",OUONCK,,,,,5546,5368,10914"
"ZIGUINCHOR,BIGNONA,""AR. TENGHORY"",TENGHORY,,,,,20207,19302,39509"
"ZIGUINCHOR,BIGNONA,""AR. KATABA I"",DJINAKI,,,,,10115,9465,19580"
"ZIGUINCHOR,BIGNONA,""AR. KATABA I"",KAFOUNTINE,,,,,22843,18747,41590"
"ZIGUINCHOR,BIGNONA,""AR. KATABA I"",""KATABA I"",,,,,16791,15205,31996"
"ZIGUINCHOR,BIGNONA,""AR. KATABA I"",""COM. DIOULOULOU"",,,,,4435,3674,8109"
"ZIGUINCHOR,OUSSOUYE,""COM. OUSSOUYE"",""COM. OUSSOUYE"",,,,,2907,2798,5705"
"ZIGUINCHOR,OUSSOUYE,""AR. CABROUSSE"",DJEMBERING,,,,,13792,12110,25902"
"ZIGUINCHOR,OUSSOUYE,""AR. CABROUSSE"",""SANTHIABA MANJACQUE"",,,,,1520,1521,3041"
"ZIGUINCHOR,OUSSOUYE,""AR. LOUDIA OUOLOF"",MLOMP,,,,,6050,5376,11426"
"ZIGUINCHOR,OUSSOUYE,""AR. LOUDIA OUOLOF"",OUKOUT,,,,,4116,4377,8493"
"ZIGUINCHOR,ZIGUINCHOR,""COM. ZIGUINCHOR"",""COM. ZIGUINCHOR"",,,,,109399,105475,214874"
"ZIGUINCHOR,ZIGUINCHOR,""AR. NIAGUIS"",ADEANE,,,,,9981,9747,19728"
"ZIGUINCHOR,ZIGUINCHOR,""AR. NIAGUIS"",""BOUTOUPA CAMARACOUNDA"",,,,,4588,4094,8682"
"ZIGUINCHOR,ZIGUINCHOR,""AR. NIAGUIS"",NIAGUIS,,,,,10986,10685,21671"
"ZIGUINCHOR,ZIGUINCHOR,""AR. NYASSIA"",ENAMPORE,,,,,2530,2347,4877"
"ZIGUINCHOR,ZIGUINCHOR,""AR. NYASSIA"",NYASSIA,,,,,2932,2737,5669"
"DIOURBEL,BAMBEY,""COM. BAMBEY"",""COM. BAMBEY"",,,,,17792,19582,37374"
"DIOURBEL,BAMBEY,""AR. BABA GARAGE"",""BABA GARAGE"",,,,,9199,9106,18305"
"DIOURBEL,BAMBEY,""AR. BABA GARAGE"",DINGUIRAYE,,,,,6222,5659,11881"
"DIOURBEL,BAMBEY,""AR. BABA GARAGE"",""KEUR SAMBA KANE"",,,,,10336,10700,21036"
"DIOURBEL,BAMBEY,""AR. LAMBAYE"",GAWANE,,,,,10317,9590,19907"
"DIOURBEL,BAMBEY,""AR. LAMBAYE"",LAMBAYE,,,,,13731,16755,30486"
"DIOURBEL,BAMBEY,""AR. LAMBAYE"",N’GOGOM,,,,,20151,20797,40948"
"DIOURBEL,BAMBEY,""AR. LAMBAYE"",REFANE,,,,,19871,20084,39955"
"DIOURBEL,BAMBEY,""AR. N’GOYE"",DANGALMA,,,,,21822,22576,44398"
"DIOURBEL,BAMBEY,""AR. N’GOYE"",N’DONDOL,,,,,12189,13654,25843"
"DIOURBEL,BAMBEY,""AR. N’GOYE"",N’GOYE,,,,,26184,28054,54238"
"DIOURBEL,BAMBEY,""AR. N’GOYE"",THIAKAR,,,,,16386,15710,32096"
"DIOURBEL,DIOURBEL,""COM. DIOURBEL"",""COM. DIOURBEL"",,,,,78003,79551,157554"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",""DANKH  SENE"",,,,,6137,6273,12410"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",""GADE ESCALE"",,,,,2376,2145,4521"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",N’DINDY,,,,,8802,8524,17326"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",""KEUR N’GALGOU"",,,,,5096,4664,9760"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",""TAIBA MOUTOUPHA"",,,,,7108,6782,13890"
"DIOURBEL,DIOURBEL,""AR. N’DINDY"",""TOUBA LAPPE"",,,,,2788,2339,5127"
"DIOURBEL,DIOURBEL,""AR. N’DOULO"",N’DOULO,,,,,7458,7362,14820"
"DIOURBEL,DIOURBEL,""AR. N’DOULO"",N’GOHE,,,,,20560,20198,40758"
"DIOURBEL,DIOURBEL,""AR. N’DOULO"",PATAR,,,,,13549,13107,26656"
"DIOURBEL,DIOURBEL,""AR. N’DOULO"",""TOCKY GARE"",,,,,12901,11920,24821"
"DIOURBEL,DIOURBEL,""AR. N’DOULO"",""TOURE M’BONDE"",,,,,8588,7878,16466"
"DIOURBEL,M’BACKE,""COM. M’BACKE"",""COM. M’BACKE"",,,,,49369,52082,101451"
"DIOURBEL,M’BACKE,""AR. KAEL"",""DENDEYE GOUYE GUI"",,,,,3676,3385,7061"
"DIOURBEL,M’BACKE,""AR. KAEL"",""DAROU SALAM  TYP"",,,,,4005,3240,7245"
"DIOURBEL,M’BACKE,""AR. KAEL"",KAEL,,,,,3770,3374,7144"
"DIOURBEL,M’BACKE,""AR. KAEL"",MADINA,,,,,4713,4050,8763"
"DIOURBEL,M’BACKE,""AR. KAEL"",""N’DIOUMANE  T. THIEKENE"",,,,,3435,3216,6651"
"DIOURBEL,M’BACKE,""AR. KAEL"",""TOUBA  M’BOUL"",,,,,7012,6219,13231"
"DIOURBEL,M’BACKE,""AR. KAEL"",""DAROU NAHIM"",,,,,1631,1311,2942"
"DIOURBEL,M’BACKE,""AR. KAEL"",""TAIBA TIECKENE"",,,,,1403,1062,2465"
"DIOURBEL,M’BACKE,""AR. N’DAME"",""DALLA N’GABOU"",,,,,6983,5626,12609"
"DIOURBEL,M’BACKE,""AR. N’DAME"",MISSIRAH,,,,,4512,3904,8416"
"DIOURBEL,M’BACKE,""AR. N’DAME"",N’GHAYE,,,,,3530,3247,6777"
"DIOURBEL,M’BACKE,""AR. N’DAME"",""TOUBA FALL"",,,,,6322,5178,11500"
"DIOURBEL,M’BACKE,""AR. N’DAME"",""TOUBA MOSQUEE"",,,,,550565,570259,1120824"
"DIOURBEL,M’BACKE,""AR. TAIF"",SADIO,,,,,12196,12248,24444"
"DIOURBEL,M’BACKE,""AR. TAIF"",TAÏF,,,,,9063,9170,18233"
"SAINT-LOUIS,DAGANA,""COM. DAGANA"",""COM. DAGANA"",,,,,13893,12675,26568"
"SAINT-LOUIS,DAGANA,""COM. RICHARD-TOLL"",""COM. RICHARD-TOLL"",,,,,38787,34360,73147"
