price_id,price,currency,currency_to_FCFA
1,110000000.0,FCFA,0
2,40000000.0,FCFA,0
3,48000000.0,FCFA,0
4,25000000.0,FCFA,0
5,33000000.0,FCFA,0
6,262622360.0,FCFA,0
7,80000000.0,FCFA,0
8,37000000.0,FCFA,0
9,1.0,FCFA,0
10,100000000.0,FCFA,0
11,47000000.0,FCFA,0
12,74500000.0,FCFA,0
13,310000000.0,FCFA,0
14,18900000.0,FCFA,0
15,70000000.0,FCFA,0
16,170000000.0,FCFA,0
17,130000000.0,FCFA,0
18,83000000.0,FCFA,0
19,21900000.0,FCFA,0
20,180000000.0,FCFA,0
21,30000000.0,FCFA,0
22,75000000.0,FCFA,0
23,175000000.0,FCFA,0
24,57000000.0,FCFA,0
25,35000000.0,FCFA,0
26,65000000.0,FCFA,0
27,27000000.0,FCFA,0
28,160000000.0,FCFA,0
29,55000000.0,FCFA,0
30,390000000.0,FCFA,0
31,265000000.0,FCFA,0
32,750000000.0,FCFA,0
33,60000000.0,FCFA,0
34,290000000.0,FCFA,0
35,135000000.0,FCFA,0
36,250000000.0,FCFA,0
37,300000000.0,FCFA,0
38,85000000.0,FCFA,0
39,195000000.0,FCFA,0
40,0.0,FCFA,0
41,1200000000.0,FCFA,0
42,45000000.0,FCFA,0
43,10000000.0,FCFA,0
44,50000000.0,FCFA,0
45,330000000.0,FCFA,0
46,360000000.0,FCFA,0
47,215000000.0,FCFA,0
48,260000000.0,FCFA,0
49,68000000.0,FCFA,0
50,16000000.0,FCFA,0
51,230000000.0,FCFA,0
52,19000000.0,FCFA,0
53,20000000.0,FCFA,0
54,140000000.0,FCFA,0
55,220000000.0,FCFA,0
56,120000000.0,FCFA,0
57,370000000.0,FCFA,0
58,450000000.0,FCFA,0
59,155000000.0,FCFA,0
60,92000000.0,FCFA,0
61,95000000.0,FCFA,0
62,13000000.0,FCFA,0
63,11000000.0,FCFA,0
64,210000000.0,FCFA,0
65,179000000.0,FCFA,0
66,150000000.0,FCFA,0
67,168000000.0,FCFA,0
68,700000000.0,FCFA,0
69,105000000.0,FCFA,0
70,550000000.0,FCFA,0
71,115000000.0,FCFA,0
72,600000000.0,FCFA,0
73,375000000.0,FCFA,0
74,165000000.0,FCFA,0
75,79000000.0,FCFA,0
76,540000000.0,FCFA,0
77,490000000.0,FCFA,0
78,200000000.0,FCFA,0
79,54900000.0,FCFA,0
80,125000000.0,FCFA,0
81,460000000.0,FCFA,0
82,90000000.0,FCFA,0
83,350000000.0,FCFA,0
84,158500000.0,FCFA,0
85,360500000.0,FCFA,0
86,32000000.0,FCFA,0
87,38000000.0,FCFA,0
88,42000000.0,FCFA,0
89,500000000.0,FCFA,0
90,144500000.0,FCFA,0
91,247500000.0,FCFA,0
92,127430000.0,FCFA,0
93,89000000.0,FCFA,0
94,147590000.0,FCFA,0
95,113800000.0,FCFA,0
96,145000000.0,FCFA,0
97,361000000.0,FCFA,0
98,285000000.0,FCFA,0
99,190000000.0,FCFA,0
100,39500000.0,FCFA,0
101,46000000.0,FCFA,0
102,2700000000.0,FCFA,0
103,3000000.0,FCFA,0
104,185000000.0,FCFA,0
105,18000000.0,FCFA,0
106,268000000.0,FCFA,0
107,138000000.0,FCFA,0
