"id_rgpd","region","departement","arrondissement","commune","quartier","village","concession","menage","nombre_hommes","nombre_femmes","population"
"521","SEDHIOU","SEDHIOU","AR. DJIBABOUYA","SANSAMBA",NULL,NULL,NULL,NULL,9250,8845,18095
"522","SEDHIOU","SEDHIOU","AR. DJIBABOUYA","DJIBABOUYA",NULL,NULL,NULL,NULL,3630,3215,6845
"523","SEDHIOU","SEDHIOU","AR. DJIREDJI","BAMBALI",NULL,NULL,NULL,NULL,10766,9658,20424
"524","SEDHIOU","SEDHIOU","AR. DJIREDJI","DJIREDJI",NULL,NULL,NULL,NULL,12192,10754,22946
"525","SEDHIOU","BOUNKILING","COM. BOUNKILING","COM. BOUNKILING",NULL,NULL,NULL,NULL,5026,4943,9969
"526","SEDHIOU","BOUNKILING","AR. BOGHAL","BOGHAL",NULL,NULL,NULL,NULL,9882,9679,19561
"527","SEDHIOU","BOUNKILING","AR. BOGHAL","TANKON",NULL,NULL,NULL,NULL,18037,16312,34349
"528","SEDHIOU","BOUNKILING","AR. BOGHAL","DJINANY",NULL,NULL,NULL,NULL,2588,2220,4808
"529","SEDHIOU","BOUNKILING","AR. BOGHAL","NDIAMALATHIEL",NULL,NULL,NULL,NULL,10147,10158,20305
"530","SEDHIOU","BOUNKILING","AR. BOGHAL","COM. NDIAMACOUTA",NULL,NULL,NULL,NULL,5632,5911,11543
"531","SEDHIOU","BOUNKILING","AR. BONA","BONA",NULL,NULL,NULL,NULL,4610,4270,8880
"532","SEDHIOU","BOUNKILING","AR. BONA","DIACOUNDA",NULL,NULL,NULL,NULL,4379,4079,8458
"533","SEDHIOU","BOUNKILING","AR. BONA","INOR",NULL,NULL,NULL,NULL,6529,5726,12255
"534","SEDHIOU","BOUNKILING","AR. BONA","KANDION MANGANA",NULL,NULL,NULL,NULL,1283,1098,2381
"535","SEDHIOU","BOUNKILING","AR. DIAROUME","DIAROUME",NULL,NULL,NULL,NULL,12604,11114,23718
"536","SEDHIOU","BOUNKILING","AR. DIAROUME","DIAMBATY",NULL,NULL,NULL,NULL,7328,7192,14520
"537","SEDHIOU","BOUNKILING","AR. DIAROUME","FAOUNE",NULL,NULL,NULL,NULL,9735,8859,18594
"538","SEDHIOU","BOUNKILING","AR. DIAROUME","COM. MADINA WANDIFA",NULL,NULL,NULL,NULL,9539,8992,18531
"539","SEDHIOU","GOUDOMP","COM. GOUDOMP","COM. GOUDOMP",NULL,NULL,NULL,NULL,8137,7856,15993
"540","SEDHIOU","GOUDOMP","AR. DJIBANAR","DJIBANAR",NULL,NULL,NULL,NULL,6296,5869,12165
"541","SEDHIOU","GOUDOMP","AR. DJIBANAR","KAOUR",NULL,NULL,NULL,NULL,2953,2748,5701
"542","SEDHIOU","GOUDOMP","AR. DJIBANAR","MANGAROUNGOU SANTO",NULL,NULL,NULL,NULL,7029,6660,13689
"543","SEDHIOU","GOUDOMP","AR. DJIBANAR","SIMBADI BALANTE",NULL,NULL,NULL,NULL,11765,11472,23237
"544","SEDHIOU","GOUDOMP","AR. DJIBANAR","YARANG BALANTE",NULL,NULL,NULL,NULL,8076,7804,15880
"545","SEDHIOU","GOUDOMP","AR. DJIBANAR","COM. DIATTACOUNDA",NULL,NULL,NULL,NULL,2512,2437,4949
"546","SEDHIOU","GOUDOMP","AR. DJIBANAR","COM. SAMINE",NULL,NULL,NULL,NULL,3416,3116,6532
"547","SEDHIOU","GOUDOMP","AR. KARANTABA","KARANTABA",NULL,NULL,NULL,NULL,9558,9357,18915
"548","SEDHIOU","GOUDOMP","AR. KARANTABA","KOLIBANTANG",NULL,NULL,NULL,NULL,6590,6280,12870
"549","SEDHIOU","GOUDOMP","AR. SIMBANDI BRASSOU","NIAGHA",NULL,NULL,NULL,NULL,7355,7375,14730
"550","SEDHIOU","GOUDOMP","AR. SIMBANDI BRASSOU","SIMBANDI BRASSOU",NULL,NULL,NULL,NULL,8333,7969,16302
"551","SEDHIOU","GOUDOMP","AR. SIMBANDI BRASSOU","BAGHERE",NULL,NULL,NULL,NULL,6727,6765,13492
"552","SEDHIOU","GOUDOMP","AR. SIMBANDI BRASSOU","DIOUBOUDOU",NULL,NULL,NULL,NULL,3480,3479,6959
"553","SEDHIOU","GOUDOMP","AR. SIMBANDI BRASSOU","COM. TANAFF",NULL,NULL,NULL,NULL,3479,3204,6683
